tarih,sube_kodu,sube_adi,il,ilce,sube_tipi,kabul_edilen,teslim_edilen,bekleyen,geciken,iade_edilen,ortalama_teslim_suresi,toplam_personel,dagitici_sayisi,gise_personeli,izinli_personel,fazla_mesai_saati,sikayet_sayisi,basarisiz_teslimat,hasarli_gonderi,yanlis_teslimat,toplam_gelir,kargo_geliri,bankacilik_islem_sayisi,tahsilat_sayisi,hava_durumu,resmi_tatil,bayram_donemi,bolgesel_yogunluk,teslim_basarisi_pct,gecikme_orani_pct,iade_orani_pct,sikayet_orani_binde,personel_verimliligi,dagitici_is_yuku,gonderi_basi_gelir
2026-01-02,S001,Ankara Çankaya,Ankara,Çankaya,Merkez,409,382,22,28,5,1.12,24,9,10,1,8.6,3,11,1,1,20331.2,16163.49,173,94,Bulutlu,0,0,1.19,93.4,6.85,1.22,7.85,15.92,45.44,49.71
2026-01-02,S002,Ankara Keçiören,Ankara,Keçiören,Büyük,399,366,28,36,5,1.56,21,8,8,2,17.4,4,11,1,1,18717.17,14897.44,145,63,Açık,0,0,1.13,91.73,9.02,1.25,10.93,17.43,49.88,46.91
2026-01-02,S003,İstanbul Kadıköy,İstanbul,Kadıköy,Merkez,424,407,9,12,8,1.4,28,11,12,2,5.6,2,13,1,1,18833.57,14809.81,160,63,Açık,0,0,1.29,95.99,2.83,1.89,4.91,14.54,38.55,44.42
2026-01-02,S004,İstanbul Üsküdar,İstanbul,Üsküdar,Büyük,470,421,39,41,10,1.89,25,10,10,2,14.0,6,28,2,1,20812.71,15899.86,233,92,Yağmurlu,0,0,1.37,89.57,8.72,2.13,14.25,16.84,47.0,44.28
2026-01-02,S005,İzmir Konak,İzmir,Konak,Merkez,424,405,9,13,10,1.48,23,9,9,0,5.0,2,10,1,1,20466.15,16641.41,151,67,Açık,0,0,1.29,95.52,3.07,2.36,4.94,17.61,47.11,48.27
2026-01-02,S006,Bursa Nilüfer,Bursa,Nilüfer,Büyük,351,331,14,17,6,1.31,19,7,7,0,5.5,2,14,2,1,15766.25,12293.09,142,78,Açık,0,0,0.96,94.3,4.84,1.71,6.04,17.42,50.14,44.92
2026-01-02,S007,Antalya Muratpaşa,Antalya,Muratpaşa,Büyük,378,351,19,25,8,1.42,20,8,7,0,4.6,2,15,2,1,17077.75,14125.98,151,56,Bulutlu,0,0,1.18,92.86,6.61,2.12,5.7,17.55,47.25,45.18
2026-01-02,S008,Konya Selçuklu,Konya,Selçuklu,Orta,298,281,12,13,5,1.5,16,6,5,0,3.9,4,9,1,1,13168.29,10270.26,117,45,Açık,0,0,0.89,94.3,4.36,1.68,14.23,17.56,49.67,44.19
2026-01-02,S009,Samsun İlkadım,Samsun,İlkadım,Orta,248,230,14,16,4,1.55,15,6,4,2,11.2,1,5,1,1,12818.12,10635.63,82,36,Açık,0,0,0.76,92.74,6.45,1.61,4.35,15.33,41.33,51.69
2026-01-02,S010,Erzurum Yakutiye,Erzurum,Yakutiye,Orta,273,217,52,54,4,2.74,14,5,4,2,22.6,8,28,2,0,12949.36,9749.78,126,63,Karlı,0,0,0.78,79.49,19.78,1.47,36.87,15.5,54.6,47.43
2026-01-03,S001,Ankara Çankaya,Ankara,Çankaya,Merkez,259,248,6,8,5,1.15,24,9,10,3,2.1,1,5,1,1,12828.24,10210.72,114,55,Açık,0,0,1.36,95.75,3.09,1.93,4.03,10.33,28.78,49.53
2026-01-03,S002,Ankara Keçiören,Ankara,Keçiören,Büyük,166,155,7,9,4,1.48,21,8,8,1,0.0,2,4,1,0,6976.74,5669.38,59,20,Açık,0,0,1.17,93.37,5.42,2.41,12.9,7.38,20.75,42.03
2026-01-03,S003,İstanbul Kadıköy,İstanbul,Kadıköy,Merkez,254,231,18,19,5,1.89,28,11,12,4,0.0,1,16,1,1,11922.77,9590.27,101,55,Yağmurlu,0,0,1.48,90.94,7.48,1.97,4.33,8.25,23.09,46.94
2026-01-03,S004,İstanbul Üsküdar,İstanbul,Üsküdar,Büyük,186,176,7,9,3,1.58,25,10,10,2,0.0,1,7,1,0,9668.25,8340.3,73,31,Açık,0,0,1.17,94.62,4.84,1.61,5.68,7.04,18.6,51.98
2026-01-03,S005,İzmir Konak,İzmir,Konak,Merkez,223,212,8,12,3,1.25,23,9,9,2,0.0,0,3,1,0,12097.04,9818.48,110,44,Açık,0,0,1.27,95.07,5.38,1.35,0.0,9.22,24.78,54.25
2026-01-03,S006,Bursa Nilüfer,Bursa,Nilüfer,Büyük,178,167,6,7,5,1.31,19,7,7,2,0.0,2,5,0,1,8458.97,6669.53,79,32,Açık,0,0,1.04,93.82,3.93,2.81,11.98,8.79,25.43,47.52
2026-01-03,S007,Antalya Muratpaşa,Antalya,Muratpaşa,Büyük,160,149,8,10,3,1.38,20,8,7,4,1.2,2,4,1,1,7378.63,5493.1,81,26,Bulutlu,0,0,1.07,93.12,6.25,1.88,13.42,7.45,20.0,46.12
2026-01-03,S008,Konya Selçuklu,Konya,Selçuklu,Orta,177,161,13,15,3,1.55,16,6,5,1,0.0,3,11,1,1,8654.48,6787.36,81,27,Yağmurlu,0,0,1.04,90.96,8.47,1.69,18.63,10.06,29.5,48.9
2026-01-03,S009,Samsun İlkadım,Samsun,İlkadım,Orta,145,139,4,6,2,1.33,15,6,4,2,0.0,1,2,1,0,7615.52,5904.2,70,37,Açık,0,0,0.92,95.86,4.14,1.38,7.19,9.27,24.17,52.52
2026-01-03,S010,Erzurum Yakutiye,Erzurum,Yakutiye,Orta,102,97,3,4,2,1.46,14,5,4,2,0.0,1,3,0,0,5501.65,4322.27,51,19,Açık,0,0,0.79,95.1,3.92,1.96,10.31,6.93,20.4,53.94
2026-01-04,S001,Ankara Çankaya,Ankara,Çankaya,Merkez,206,195,8,10,3,1.32,24,9,10,1,0.0,2,6,1,1,8755.89,7048.19,87,29,Açık,0,0,1.22,94.66,4.85,1.46,10.26,8.12,22.89,42.5
2026-01-04,S002,Ankara Keçiören,Ankara,Keçiören,Büyük,215,209,3,3,3,1.21,21,8,8,2,0.0,0,6,1,1,11015.41,8531.59,100,45,Açık,0,0,1.18,97.21,1.4,1.4,0.0,9.95,26.88,51.23
2026-01-04,S003,İstanbul Kadıköy,İstanbul,Kadıköy,Merkez,248,228,17,19,3,1.64,28,11,12,1,0.0,4,14,1,1,10665.0,8241.16,95,47,Yağmurlu,0,0,1.51,91.94,7.66,1.21,17.54,8.14,22.55,43.0
2026-01-04,S004,İstanbul Üsküdar,İstanbul,Üsküdar,Büyük,189,172,13,15,4,1.6,25,10,10,2,0.0,2,10,0,0,8488.71,6524.7,101,36,Yağmurlu,0,0,1.12,91.01,7.94,2.12,11.63,6.88,18.9,44.91
2026-01-04,S005,İzmir Konak,İzmir,Konak,Merkez,202,194,6,8,2,1.52,23,9,9,0,0.0,3,6,1,0,9858.09,8262.31,74,33,Bulutlu,0,0,1.33,96.04,3.96,0.99,15.46,8.43,22.44,48.8
2026-01-04,S006,Bursa Nilüfer,Bursa,Nilüfer,Büyük,139,125,12,13,2,1.6,19,7,7,1,0.0,2,8,0,0,6170.23,5051.86,50,25,Yağmurlu,0,0,0.99,89.93,9.35,1.44,16.0,6.58,19.86,44.39
2026-01-04,S007,Antalya Muratpaşa,Antalya,Muratpaşa,Büyük,195,178,14,15,3,1.47,20,8,7,1,0.0,4,11,1,1,8511.09,6811.39,70,26,Yağmurlu,0,0,1.1,91.28,7.69,1.54,22.47,8.9,24.38,43.65
2026-01-04,S008,Konya Selçuklu,Konya,Selçuklu,Orta,111,104,5,7,2,1.54,16,6,5,4,7.1,1,2,0,0,5301.06,3924.91,57,28,Bulutlu,0,0,1.0,93.69,6.31,1.8,9.62,6.5,18.5,47.76
2026-01-04,S009,Samsun İlkadım,Samsun,İlkadım,Orta,151,141,7,8,3,1.51,15,6,4,2,0.0,1,4,1,0,7796.85,6144.18,67,22,Açık,0,0,0.85,93.38,5.3,1.99,7.09,9.4,25.17,51.63
2026-01-04,S010,Erzurum Yakutiye,Erzurum,Yakutiye,Orta,101,95,4,6,2,1.26,14,5,4,2,0.0,2,2,1,0,5491.66,4293.48,49,22,Açık,0,0,0.7,94.06,5.94,1.98,21.05,6.79,20.2,54.37
2026-01-05,S001,Ankara Çankaya,Ankara,Çankaya,Merkez,601,543,42,48,16,1.82,24,9,10,1,25.4,7,16,3,1,25520.02,19610.4,244,127,Açık,0,0,1.48,90.35,7.99,2.66,12.89,22.62,66.78,42.46
2026-01-05,S002,Ankara Keçiören,Ankara,Keçiören,Büyük,432,402,25,29,5,1.77,21,8,8,1,15.4,6,15,2,1,19793.51,15672.16,156,76,Bulutlu,0,0,1.04,93.06,6.71,1.16,14.93,19.14,54.0,45.82
2026-01-05,S003,İstanbul Kadıköy,İstanbul,Kadıköy,Merkez,472,445,16,23,11,1.33,28,11,12,2,10.2,2,11,2,2,22677.96,18786.01,159,67,Açık,0,0,1.29,94.28,4.87,2.33,4.49,15.89,42.91,48.05
2026-01-05,S004,İstanbul Üsküdar,İstanbul,Üsküdar,Büyük,473,438,24,32,11,1.66,25,10,10,1,11.1,5,11,3,1,22346.55,17093.84,210,87,Açık,0,0,1.27,92.6,6.77,2.33,11.42,17.52,47.3,47.24
2026-01-05,S005,İzmir Konak,İzmir,Konak,Merkez,559,492,55,59,12,1.67,23,9,9,2,28.7,9,22,2,2,29517.34,23545.86,259,100,Açık,0,0,1.34,88.01,10.55,2.15,18.29,21.39,62.11,52.8
2026-01-05,S006,Bursa Nilüfer,Bursa,Nilüfer,Büyük,378,354,20,27,4,1.51,19,7,7,0,8.6,3,13,3,1,18239.18,14925.17,184,75,Açık,0,0,0.94,93.65,7.14,1.06,8.47,18.63,54.0,48.25
2026-01-05,S007,Antalya Muratpaşa,Antalya,Muratpaşa,Büyük,439,407,26,33,6,1.54,20,8,7,1,12.6,5,12,2,0,20903.45,17626.98,141,59,Bulutlu,0,0,1.11,92.71,7.52,1.37,12.29,20.35,54.88,47.62
2026-01-05,S008,Konya Selçuklu,Konya,Selçuklu,Orta,369,323,42,48,4,1.95,16,6,5,2,26.2,6,7,1,1,18959.47,15085.99,181,76,Açık,0,0,0.83,87.53,13.01,1.08,18.58,20.19,61.5,51.38
2026-01-05,S009,Samsun İlkadım,Samsun,İlkadım,Orta,291,264,24,25,3,1.8,15,6,4,1,10.0,4,18,2,1,13030.53,10282.25,144,65,Yağmurlu,0,0,0.82,90.72,8.59,1.03,15.15,17.6,48.5,44.78
2026-01-05,S010,Erzurum Yakutiye,Erzurum,Yakutiye,Orta,324,284,33,36,7,1.74,14,5,4,1,17.1,4,7,2,1,15770.5,12727.13,142,56,Açık,0,0,0.77,87.65,11.11,2.16,14.08,20.29,64.8,48.67
2026-01-06,S001,Ankara Çankaya,Ankara,Çankaya,Merkez,361,340,15,17,6,1.34,24,9,10,2,7.0,4,6,1,1,16569.18,13169.9,156,75,Açık,0,0,1.15,94.18,4.71,1.66,11.76,14.17,40.11,45.9
2026-01-06,S002,Ankara Keçiören,Ankara,Keçiören,Büyük,393,362,25,28,6,1.63,21,8,8,2,16.2,3,11,1,1,21303.96,16975.35,206,92,Açık,0,0,1.18,92.11,7.12,1.53,8.29,17.24,49.12,54.21
2026-01-06,S003,İstanbul Kadıköy,İstanbul,Kadıköy,Merkez,557,483,62,68,12,1.89,28,11,12,2,18.1,10,28,2,1,24319.23,20604.18,181,66,Yağmurlu,0,0,1.51,86.71,12.21,2.15,20.7,17.25,50.64,43.66
2026-01-06,S004,İstanbul Üsküdar,İstanbul,Üsküdar,Büyük,445,426,15,17,4,1.32,25,10,10,0,3.2,1,10,3,0,20820.96,15360.29,240,103,Açık,0,0,1.33,95.73,3.82,0.9,2.35,17.04,44.5,46.79
2026-01-06,S005,İzmir Konak,İzmir,Konak,Merkez,419,378,34,32,7,1.73,23,9,9,1,8.7,4,25,2,2,23563.17,17759.32,208,102,Yağmurlu,0,0,1.24,90.21,7.64,1.67,10.58,16.43,46.56,56.24
2026-01-06,S006,Bursa Nilüfer,Bursa,Nilüfer,Büyük,344,320,19,22,5,1.5,19,7,7,1,7.7,2,5,1,1,16687.19,12979.41,145,55,Açık,0,0,1.03,93.02,6.4,1.45,6.25,16.84,49.14,48.51
2026-01-06,S007,Antalya Muratpaşa,Antalya,Muratpaşa,Büyük,426,395,22,27,9,1.4,20,8,7,0,8.9,4,10,2,2,19973.82,15092.4,186,89,Açık,0,0,1.23,92.72,6.34,2.11,10.13,19.75,53.25,46.89
2026-01-06,S008,Konya Selçuklu,Konya,Selçuklu,Orta,311,283,26,28,2,1.86,16,6,5,1,10.7,5,21,0,1,13959.87,10723.83,140,42,Yağmurlu,0,0,0.82,91.0,9.0,0.64,17.67,17.69,51.83,44.89
2026-01-06,S009,Samsun İlkadım,Samsun,İlkadım,Orta,272,239,29,30,4,2.0,15,6,4,2,13.0,4,18,1,1,13503.42,11435.59,116,42,Yağmurlu,0,0,0.85,87.87,11.03,1.47,16.74,15.93,45.33,49.64
2026-01-06,S010,Erzurum Yakutiye,Erzurum,Yakutiye,Orta,302,225,71,72,6,2.71,14,5,4,2,26.2,10,30,2,1,10904.2,8376.36,116,58,Karlı,0,0,0.85,74.5,23.84,1.99,44.44,16.07,60.4,36.11
2026-01-07,S001,Ankara Çankaya,Ankara,Çankaya,Merkez,402,380,14,18,8,1.37,24,9,10,1,5.1,4,10,1,1,19333.94,15016.05,212,82,Açık,0,0,1.25,94.53,4.48,1.99,10.53,15.83,44.67,48.09
2026-01-07,S002,Ankara Keçiören,Ankara,Keçiören,Büyük,458,367,79,88,12,2.35,21,8,8,4,48.3,10,13,2,1,20689.5,16547.6,205,112,Bulutlu,0,0,1.25,80.13,19.21,2.62,27.25,17.48,57.25,45.17
2026-01-07,S003,İstanbul Kadıköy,İstanbul,Kadıköy,Merkez,428,409,10,16,9,1.29,28,11,12,1,4.0,4,9,2,1,21207.15,17117.5,192,97,Açık,0,0,1.33,95.56,3.74,2.1,9.78,14.61,38.91,49.55
2026-01-07,S004,İstanbul Üsküdar,İstanbul,Üsküdar,Büyük,465,436,20,26,9,1.18,25,10,10,0,4.7,4,17,1,1,24045.89,19554.01,180,72,Bulutlu,0,0,1.34,93.76,5.59,1.94,9.17,17.44,46.5,51.71
2026-01-07,S005,İzmir Konak,İzmir,Konak,Merkez,489,440,43,49,6,1.8,23,9,9,1,15.6,8,30,4,2,20989.07,17397.31,160,80,Yağmurlu,0,0,1.37,89.98,10.02,1.23,18.18,19.13,54.33,42.92
2026-01-07,S006,Bursa Nilüfer,Bursa,Nilüfer,Büyük,436,394,32,38,10,1.48,19,7,7,1,17.5,2,13,1,1,19635.5,15273.0,174,84,Açık,0,0,1.2,90.37,8.72,2.29,5.08,20.74,62.29,45.04
2026-01-07,S007,Antalya Muratpaşa,Antalya,Muratpaşa,Büyük,415,389,17,26,9,1.55,20,8,7,0,8.7,2,9,1,0,18231.74,14022.28,192,94,Açık,0,0,1.12,93.73,6.27,2.17,5.14,19.45,51.88,43.93
2026-01-07,S008,Konya Selçuklu,Konya,Selçuklu,Orta,295,247,41,44,7,2.06,16,6,5,3,27.3,6,7,1,1,13603.04,10325.74,150,49,Açık,0,0,0.83,83.73,14.92,2.37,24.29,15.44,49.17,46.11
2026-01-07,S009,Samsun İlkadım,Samsun,İlkadım,Orta,230,216,11,13,3,1.28,15,6,4,1,3.5,1,5,2,0,12532.8,10285.8,87,43,Açık,0,0,0.71,93.91,5.65,1.3,4.63,14.4,38.33,54.49
2026-01-07,S010,Erzurum Yakutiye,Erzurum,Yakutiye,Orta,296,252,39,44,5,2.36,14,5,4,0,8.3,8,36,0,1,12805.41,10292.7,109,38,Karlı,0,0,0.86,85.14,14.86,1.69,31.75,18.0,59.2,43.26
2026-01-08,S001,Ankara Çankaya,Ankara,Çankaya,Merkez,457,409,38,44,10,1.73,24,9,10,1,12.2,8,28,3,2,17886.55,14775.55,152,53,Yağmurlu,0,0,1.32,89.5,9.63,2.19,19.56,17.04,50.78,39.14
2026-01-08,S002,Ankara Keçiören,Ankara,Keçiören,Büyük,375,347,24,23,4,1.58,21,8,8,0,4.4,5,22,1,0,18431.41,14249.39,195,80,Yağmurlu,0,0,1.06,92.53,6.13,1.07,14.41,16.52,46.88,49.15
2026-01-08,S003,İstanbul Kadıköy,İstanbul,Kadıköy,Merkez,507,476,23,25,8,1.33,28,11,12,1,11.1,3,15,1,1,27607.79,21830.56,274,135,Açık,0,0,1.47,93.89,4.93,1.58,6.3,17.0,46.09,54.45
2026-01-08,S004,İstanbul Üsküdar,İstanbul,Üsküdar,Büyük,471,443,17,20,11,1.4,25,10,10,2,16.4,6,14,1,2,25991.38,21252.93,162,89,Açık,0,0,1.35,94.06,4.25,2.34,13.54,17.72,47.1,55.18
2026-01-08,S005,İzmir Konak,İzmir,Konak,Merkez,454,423,23,24,8,1.31,23,9,9,0,7.2,3,13,1,1,20157.05,16661.18,154,79,Açık,0,0,1.31,93.17,5.29,1.76,7.09,18.39,50.44,44.4
2026-01-08,S006,Bursa Nilüfer,Bursa,Nilüfer,Büyük,349,326,13,16,10,1.33,19,7,7,0,4.9,3,11,1,1,18593.07,14693.28,150,54,Açık,0,0,1.05,93.41,4.58,2.87,9.2,17.16,49.86,53.28
2026-01-08,S007,Antalya Muratpaşa,Antalya,Muratpaşa,Büyük,368,341,18,22,9,1.29,20,8,7,1,7.7,4,9,2,0,16996.21,12696.4,152,75,Açık,0,0,1.14,92.66,5.98,2.45,11.73,17.05,46.0,46.19
2026-01-08,S008,Konya Selçuklu,Konya,Selçuklu,Orta,280,240,37,40,3,1.94,16,6,5,3,24.8,8,8,1,0,12270.76,9323.23,129,54,Açık,0,0,0.76,85.71,14.29,1.07,33.33,15.0,46.67,43.82
2026-01-08,S009,Samsun İlkadım,Samsun,İlkadım,Orta,307,281,17,22,9,1.35,15,6,4,0,5.8,3,9,1,1,15726.93,13055.73,132,40,Açık,0,0,0.83,91.53,7.17,2.93,10.68,18.73,51.17,51.23
2026-01-08,S010,Erzurum Yakutiye,Erzurum,Yakutiye,Orta,234,194,38,42,2,2.15,14,5,4,3,32.3,4,6,1,0,10324.46,8095.58,87,42,Açık,0,0,0.7,82.91,17.95,0.85,20.62,13.86,46.8,44.12
2026-01-09,S001,Ankara Çankaya,Ankara,Çankaya,Merkez,469,440,19,26,10,1.26,24,9,10,0,8.9,6,15,1,1,22040.34,18077.86,204,99,Açık,0,0,1.39,93.82,5.54,2.13,13.64,18.33,52.11,46.99
2026-01-09,S002,Ankara Keçiören,Ankara,Keçiören,Büyük,392,359,25,31,8,1.48,21,8,8,1,9.5,4,12,2,1,16199.23,13081.67,164,65,Açık,0,0,1.18,91.58,7.91,2.04,11.14,17.1,49.0,41.32
2026-01-09,S003,İstanbul Kadıköy,İstanbul,Kadıköy,Merkez,508,476,22,32,10,1.27,28,11,12,0,7.4,4,11,1,1,22008.07,17532.07,194,92,Bulutlu,0,0,1.53,93.7,6.3,1.97,8.4,17.0,46.18,43.32
2026-01-09,S004,İstanbul Üsküdar,İstanbul,Üsküdar,Büyük,506,471,24,28,11,1.61,25,10,10,1,11.3,6,14,1,1,23671.91,18437.74,254,109,Açık,0,0,1.43,93.08,5.53,2.17,12.74,18.84,50.6,46.78
2026-01-09,S005,İzmir Konak,İzmir,Konak,Merkez,423,400,18,27,5,1.46,23,9,9,0,5.6,2,7,1,1,19746.74,15653.94,197,106,Açık,0,0,1.23,94.56,6.38,1.18,5.0,17.39,47.0,46.68
2026-01-09,S006,Bursa Nilüfer,Bursa,Nilüfer,Büyük,418,386,23,25,9,1.56,19,7,7,0,12.8,3,11,1,1,22721.26,17956.41,206,75,Açık,0,0,1.09,92.34,5.98,2.15,7.77,20.32,59.71,54.36
2026-01-09,S007,Antalya Muratpaşa,Antalya,Muratpaşa,Büyük,362,335,20,23,7,1.31,20,8,7,1,9.2,3,12,1,1,17691.67,15334.7,130,43,Açık,0,0,1.16,92.54,6.35,1.93,8.96,16.75,45.25,48.87
2026-01-09,S008,Konya Selçuklu,Konya,Selçuklu,Orta,321,281,33,39,7,1.62,16,6,5,2,19.1,7,8,2,1,13623.61,10692.56,114,50,Açık,0,0,0.91,87.54,12.15,2.18,24.91,17.56,53.5,42.44
2026-01-09,S009,Samsun İlkadım,Samsun,İlkadım,Orta,325,285,36,37,4,1.5,15,6,4,2,21.4,6,10,1,1,14715.58,12741.56,109,33,Bulutlu,0,0,0.93,87.69,11.38,1.23,21.05,19.0,54.17,45.28
2026-01-09,S010,Erzurum Yakutiye,Erzurum,Yakutiye,Orta,230,200,26,29,4,2.34,14,5,4,0,3.9,6,24,1,1,9490.2,7600.66,81,37,Karlı,0,0,0.65,86.96,12.61,1.74,30.0,14.29,46.0,41.26
2026-01-10,S001,Ankara Çankaya,Ankara,Çankaya,Merkez,197,188,7,10,2,1.41,24,9,10,1,0.0,1,7,1,0,8709.42,7177.79,86,28,Bulutlu,0,0,1.27,95.43,5.08,1.02,5.32,7.83,21.89,44.21
2026-01-10,S002,Ankara Keçiören,Ankara,Keçiören,Büyük,177,171,4,6,2,1.39,21,8,8,1,0.0,3,5,1,0,9114.55,7379.98,67,35,Açık,0,0,1.21,96.61,3.39,1.13,17.54,8.14,22.12,51.49
2026-01-10,S003,İstanbul Kadıköy,İstanbul,Kadıköy,Merkez,259,234,20,23,5,1.66,28,11,12,2,0.0,2,16,1,0,13901.46,10989.42,113,45,Yağmurlu,0,0,1.61,90.35,8.88,1.93,8.55,8.36,23.55,53.67
2026-01-10,S004,İstanbul Üsküdar,İstanbul,Üsküdar,Büyük,222,210,10,11,2,1.37,25,10,10,1,0.0,2,3,1,0,10740.58,8650.38,105,52,Bulutlu,0,0,1.26,94.59,4.95,0.9,9.52,8.4,22.2,48.38
2026-01-10,S005,İzmir Konak,İzmir,Konak,Merkez,231,220,9,9,2,1.23,23,9,9,2,0.0,0,5,0,1,10221.08,8048.07,98,33,Açık,0,0,1.22,95.24,3.9,0.87,0.0,9.57,25.67,44.25
2026-01-10,S006,Bursa Nilüfer,Bursa,Nilüfer,Büyük,186,164,17,17,5,1.8,19,7,7,2,0.0,3,10,1,0,8677.59,7148.15,79,27,Yağmurlu,0,0,1.04,88.17,9.14,2.69,18.29,8.63,26.57,46.65
2026-01-10,S007,Antalya Muratpaşa,Antalya,Muratpaşa,Büyük,174,163,8,9,3,1.23,20,8,7,2,0.0,3,5,1,0,8410.85,6626.16,81,43,Açık,0,0,1.06,93.68,5.17,1.72,18.4,8.15,21.75,48.34
2026-01-10,S008,Konya Selçuklu,Konya,Selçuklu,Orta,193,183,7,7,3,1.62,16,6,5,1,0.5,1,7,1,1,9936.13,7894.3,95,34,Açık,0,0,0.94,94.82,3.63,1.55,5.46,11.44,32.17,51.48
2026-01-10,S009,Samsun İlkadım,Samsun,İlkadım,Orta,204,187,15,17,2,1.97,15,6,4,2,5.4,4,14,1,0,10542.31,8495.16,77,32,Yağmurlu,0,0,0.85,91.67,8.33,0.98,21.39,12.47,34.0,51.68
2026-01-10,S010,Erzurum Yakutiye,Erzurum,Yakutiye,Orta,120,101,16,17,3,2.35,14,5,4,3,9.0,2,13,0,1,5984.41,4652.17,59,26,Karlı,0,0,0.82,84.17,14.17,2.5,19.8,7.21,24.0,49.87
2026-01-11,S001,Ankara Çankaya,Ankara,Çankaya,Merkez,169,155,11,12,3,1.57,24,9,10,1,0.0,0,10,1,0,8632.84,7292.72,69,25,Yağmurlu,0,0,1.27,91.72,7.1,1.78,0.0,6.46,18.78,51.08
2026-01-11,S002,Ankara Keçiören,Ankara,Keçiören,Büyük,171,156,11,11,4,1.53,21,8,8,4,4.1,3,5,0,0,8516.99,6970.78,73,35,Bulutlu,0,0,1.19,91.23,6.43,2.34,19.23,7.43,21.38,49.81
2026-01-11,S003,İstanbul Kadıköy,İstanbul,Kadıköy,Merkez,240,224,13,17,3,1.38,28,11,12,1,0.0,1,6,1,1,12817.69,10178.84,113,52,Açık,0,0,1.44,93.33,7.08,1.25,4.46,8.0,21.82,53.41
2026-01-11,S004,İstanbul Üsküdar,İstanbul,Üsküdar,Büyük,175,165,7,10,3,1.48,25,10,10,1,0.0,0,3,1,0,8547.7,7223.75,56,26,Açık,0,0,1.34,94.29,5.71,1.71,0.0,6.6,17.5,48.84
2026-01-11,S005,İzmir Konak,İzmir,Konak,Merkez,194,181,7,10,6,1.32,23,9,9,3,0.0,2,6,1,1,9550.11,7456.94,91,34,Açık,0,0,1.06,93.3,5.15,3.09,11.05,7.87,21.56,49.23
